"Neptune 4D Liquid Meter, 3.5-18 GPM"

DESCRIPTION,PART NUMBER
LP-Gasmeterw/631register,RL100108A12

Liquid Controls Meters

DESCRIPTION,CAP.GPM,SIZE,PART NUMBER
"Meter assembly w/backcheck,"
"strainer, vapor eliminator,",12-60,"1-1/2""",MA5GY10
differential valve and
Veeder Root print register.
"Meter assembly w/backcheck,"
"strainer, vapor eliminator,",12-60,"1-1/2""",MA5LII
"differential valve, LCRII electronic"
"register, ETVC and printer"
"Meter assembly w/backcheck,"
"strainer ,vapor eliminator,",20-100,"2""",MA7GY10
differential valve and
Veeder Root print register.
"Meter assembly w/backcheck,"
"strainer, vapor eliminator,",20-100,"2""",MA7LII
"differential valve, LCRII electronic"
"register, ETVC and printer"

"Liqua-Tech LP-Gas Flowmeter, 3-18 GPM"

DESCRIPTION,SIZE,PART NUMBER
LP-Gasmeterw/VeederRootregister,1“,LPM102

Equimeter Vapor Meters

DESCRIPTION,MAX.W.P.,SIZE,PART NUMBER
LPG VaporMeter,5PSIG,"3/4""",S275
LPG VaporMeterw/Temp.Comp.,,,S275TC
LPG VaporMeter,,"1""",R275
LPG VaporMeterw/Temp.Comp.,,,R275TC
LPG VaporMeter,5PSIG*,,R315
LPG VaporMeterw/Temp.Comp.,,"1-1/4""",R315TC
LPG VaporMeter,10PSIG,,415
LPG VaporMeterw/Temp.Comp.,,,415TC
LPG VaporMeter,20PSIG,,750
LPG VaporMeterw/Temp.Comp.,,"1-1/2""",750TC
LPG VaporMeter,,,1600
LPG VaporMeterw/Temp.Comp.,,,1600TC
LPG VaporMeter,100PSIG,"2""",3000
LPG VaporMeterw/Temp.Comp.,,,3000TC

"Neptune 1-1/4"" thru 2"" LPG Meters"

DESCRIPTION,SIZE,PART NUMBER
RL12521RGD1meterw/printingregister&ATC,"1-1/4""",RL12521RGD1
RL15021RGD1meterw/printingregister&ATC,"1-1/2""",RL15021RGD1
RL20021RGD2meterw/printingregister&ATC,"2""",RL20021RGD2

Neptune Register

DESCRIPTION,REF. NO.,PART NUMBER
DirectReading-831-11,,880010000
Print-O-Meter-833-0,1,880030000
"DirectReading-631-1""",,100498016
"DirectReading-631-3/4""",2,100498009
DirectReading-631(toreplace106),,100693001

Veeder-Root

DESCRIPTION,REF. NO.,PART NUMBER
"Veeder-RoottoNeptuneAdapterfor3/4""meter",1,RAN075
"Veeder-RoottoNeptuneAdapterfor1""meter",1,RAN100
